log_worked=true
source_log_lines=1287
total_result_lines=118
project_translation_units=22
project_cache_decisions=22
project_cache_hits=0
project_cache_misses=22
project_other_stage_results=22
project_cache_miss_pct=100.00

source	stage	output	hash_key	outcome
autogen/src/cuda/fmha/source_6.cu	nvcc_outer	source_6.cu.o	0c306550863a757943a391fe007727c01cc25353d286c647133a3e5ec4e00fd5	not cacheable
autogen/src/cuda/fmha/source_6.cu	module_id	source_6.module_id	0408bd780f2ee6f490c5c733f15797ff757d44dc290cb5a0cc4f9703cb677fdb	cache miss
autogen/src/cuda/fmha/source_6.cu	ptx	source_6.ptx	311ded5f39bb7fb75472f48febe3c1d23b467edefa8ea55d7e3883bebf5f5086	cache miss
autogen/src/cuda/fmha/source_6.cu	cubin	source_6.cubin	3fb93aee867a63e98e6010db5cc2c3ac1faa17a1b0f9fe577cd364afbe4dd3f0	cache miss
autogen/src/cuda/fmha/source_6.cu	host	source_6.cu.o	65409313f64312c5b9f09e50787c2cd720e2320cf951c4f6e711fc8901db7fe7	cache miss
autogen/src/cuda/fna/source_0.cu	nvcc_outer	source_0.cu.o	41ec3d887507644133da4b667ef932d7980bac1714cd980ea83640a6a88ebc2c	not cacheable
autogen/src/cuda/fna/source_0.cu	module_id	source_0.module_id	469a4aab3c89140acc37761c3dcbd0e9e857f4e088bad509fde8d05c034a0e3d	cache miss
autogen/src/cuda/fna/source_0.cu	ptx	source_0.ptx	9eb7f6239d14b378be247cb4cbd71e4fc0671cea1a9595782ccbbf0922b539d9	cache miss
autogen/src/cuda/fna/source_0.cu	cubin	source_0.cubin	e381b1662640f4c0715fcd64789f0cd1866249a50dbb3d103f149fd763290f8c	cache miss
autogen/src/cuda/fna/source_0.cu	host	source_0.cu.o	2c8e55ef9342291eb41de4addea67db18900ecfb986f5744651b2b42bb25256a	cache miss
autogen/src/cuda/fna/source_10.cu	nvcc_outer	source_10.cu.o	acc96b55686ee1ff9334eec9052217bf76fac61b2bb861353cfbafcd8c279674	not cacheable
autogen/src/cuda/fna/source_10.cu	module_id	source_10.module_id	bd1bdff48ef811db7a9bdeba1e30e2103b887ffbdce72e83f97f0744853e5744	cache miss
autogen/src/cuda/fna/source_10.cu	ptx	source_10.ptx	047fac0872801265779eb622469518d71fa2e3e0d9c86ee29fc5b51c3f23d215	cache miss
autogen/src/cuda/fna/source_10.cu	cubin	source_10.cubin	aa611afae27d26a08270ea8b7f88b12f1894650c25e0ba43e1b97def882aab71	cache miss
autogen/src/cuda/fna/source_10.cu	host	source_10.cu.o	85d48b9481d4b01f0baf9641ae4520670bbbfac8e2164e67250e86e1b44a1b3d	cache miss
autogen/src/cuda/fna/source_105.cu	nvcc_outer	source_105.cu.o	92949b537da593b7e2a64b1fbe8d2e1ad45b19d8ebc561531b7e4e58846ee452	not cacheable
autogen/src/cuda/fna/source_105.cu	module_id	source_105.module_id	83b977ddd11bcd7b340aafd5a048d1b945d19ea8c61e7ae9227f72d02387e56a	cache miss
autogen/src/cuda/fna/source_105.cu	ptx	source_105.ptx	fd2d67036683676f490f71a3dd3fe7df4004262390de066a1507f540d835e5cf	cache miss
autogen/src/cuda/fna/source_105.cu	cubin	source_105.cubin	fdc9cb0c3dc1c87b49612a6a71e5f13e488b36a7c93fdb98bf261b97ca3894ed	cache miss
autogen/src/cuda/fna/source_105.cu	host	source_105.cu.o	0de04dd00a3a56afb7ca2f1c2221d6e32122c4af4bf971012f6e26bd8fb592eb	cache miss
autogen/src/cuda/fna/source_108.cu	nvcc_outer	source_108.cu.o	640135fe3d2b5bee688fcb28bee8bdc71e5f5203b01b5f696752eb49836a6722	not cacheable
autogen/src/cuda/fna/source_108.cu	module_id	source_108.module_id	c9277a888f98cdd0832b27c0fd8af4285791eeb742ead247d3480e996f12a238	cache miss
autogen/src/cuda/fna/source_108.cu	ptx	source_108.ptx	86cf9876f6808709ec9c6d3f2f9c0fdea6dd0282eb869f536ea018375909f85a	cache miss
autogen/src/cuda/fna/source_108.cu	cubin	source_108.cubin	9d405d897b54ef67fe90d470a9453a606f2a2b98ae74f0f2d0d6b550d77abaee	cache miss
autogen/src/cuda/fna/source_108.cu	host	source_108.cu.o	a88ab3060bfab1f98e3ddd2f7624c76f5c123281b8ec9bad80422615f50f10f7	cache miss
autogen/src/cuda/fna/source_115.cu	nvcc_outer	source_115.cu.o	1ec01bf7689dc3b68d83781d0b319671a3cef8c64c6febe56cba943b1c417ab7	not cacheable
autogen/src/cuda/fna/source_115.cu	module_id	source_115.module_id	bb3f5f8b1d1b07e8f7f55b9bd20ab25418d8e9b818685ccf69b78a9696adf04f	cache miss
autogen/src/cuda/fna/source_115.cu	ptx	source_115.ptx	75f92a8d1df120ecd43aba8d6df95b0dd7d537cd415addcdeb2f38d9f3c1a254	cache miss
autogen/src/cuda/fna/source_115.cu	cubin	source_115.cubin	790b05a0df5612937059ac92d10bd288663ebea3cec2f053cdd65495fb2c750c	cache miss
autogen/src/cuda/fna/source_115.cu	host	source_115.cu.o	331516cf0b0de8925208669cafe5d1968d31adbd2ed7e3cda82e2d0bb380b62e	cache miss
autogen/src/cuda/fna/source_118.cu	nvcc_outer	source_118.cu.o	1cde21a35360d56abdc6f82c65a879e36f8073cf1168543d4125abbc523f19b8	not cacheable
autogen/src/cuda/fna/source_118.cu	module_id	source_118.module_id	f6b3722bf22534e4f4ece3f46cbf9ea463bc0984dc4cfe9d52bb5a5e9c833f3a	cache miss
autogen/src/cuda/fna/source_118.cu	ptx	source_118.ptx	55b9f8e6c6c0ca566b7e9c3f4559f364fb59093038705931576657c544ae180d	cache miss
autogen/src/cuda/fna/source_118.cu	cubin	source_118.cubin	80183da9e2088267c3ef3118e334c8e0f431dea54613c0fb652aa7530695f320	cache miss
autogen/src/cuda/fna/source_118.cu	host	source_118.cu.o	3162e06732d1d47cf0888fccd87967f5f4f68d63addf966aa43c34507bff1a0f	cache miss
