log_worked=true
source_log_lines=1389
total_result_lines=128
project_translation_units=24
project_cache_decisions=24
project_cache_hits=0
project_cache_misses=24
project_other_stage_results=24
project_cache_miss_pct=100.00

source	stage	output	hash_key	outcome
autogen/src/cuda/fmha/source_0.cu	nvcc_outer	source_0.cu.o	7d9252694427cfc0d54f09dbbf0d70ac0aab38e62487b91f09c3a63d1f269e47	not cacheable
autogen/src/cuda/fmha/source_0.cu	module_id	source_0.module_id	f3d739d8b336a2e7c8e940d09feca0bcfd27f6924d13297acb079525a0238564	cache miss
autogen/src/cuda/fmha/source_0.cu	ptx	source_0.ptx	5e9668fbdbad18ccc56277d0a82702304e0e44cb9865a2d4139f2228d48d9e48	cache miss
autogen/src/cuda/fmha/source_0.cu	cubin	source_0.cubin	19dad17175fa9c8e2d15960a1b15b8e1590fc6f1cbedca5c5e8787473b1f708c	cache miss
autogen/src/cuda/fmha/source_0.cu	host	source_0.cu.o	073b9fa01cf3ba9b2073f0ff02feb6992f0249b9bdcb015938c4a5a8116a3b0b	cache miss
autogen/src/cuda/fmha/source_10.cu	nvcc_outer	source_10.cu.o	66708bf4fda0780be882c326cd3751be460d18cb963469af74093a4972a9f9de	not cacheable
autogen/src/cuda/fmha/source_10.cu	module_id	source_10.module_id	59f2bde4e317daeef3d822426d78299486942275e4948beb618399a1b832a99a	cache miss
autogen/src/cuda/fmha/source_10.cu	ptx	source_10.ptx	f5990c6c85a9f0d8a48563024d256d98bf93c4f8b8a8e2e12f98e1ab8bd1041f	cache miss
autogen/src/cuda/fmha/source_10.cu	cubin	source_10.cubin	8c58ac7f0d78dde30fc9fbca50db1bb4bf8c0fe19aeb612c43273748ff56e28c	cache miss
autogen/src/cuda/fmha/source_10.cu	host	source_10.cu.o	9d87d61bf7f72b5d963bf755ed9bd135315c81004cf7df441e930778c0d70e10	cache miss
autogen/src/cuda/fna/source_103.cu	nvcc_outer	source_103.cu.o	d390e8a29765450804dbab13588e12bcd07d5d388ec46bb0876aeb0fcb5bf845	not cacheable
autogen/src/cuda/fna/source_103.cu	module_id	source_103.module_id	74d0cb19765b18a9d0096a00813dcee488290088572d103abffafb288fc160e7	cache miss
autogen/src/cuda/fna/source_103.cu	ptx	source_103.ptx	e41eb09b0fd88d3b94f83c95a2f69b3edef339bfdca5462585503d50f894a04a	cache miss
autogen/src/cuda/fna/source_103.cu	cubin	source_103.cubin	d2b30c4097562c360f64da3e4f26f2b47f2f75f0dae2a14f996b4848e0a1541f	cache miss
autogen/src/cuda/fna/source_103.cu	host	source_103.cu.o	99d22617d0a1a02c5e4d1dd66791e601bd93b0ebcd3e5b3666ab921485edfa51	cache miss
autogen/src/cuda/fna/source_113.cu	nvcc_outer	source_113.cu.o	255b9381739b9f6b534f029e287c6eba219ff9f873330f20e07fbeb4d12f7e01	not cacheable
autogen/src/cuda/fna/source_113.cu	module_id	source_113.module_id	f17a0856f086b424784a5b614029c1fa93cbccb0321478b7d3e2bf6148e1f8fe	cache miss
autogen/src/cuda/fna/source_113.cu	ptx	source_113.ptx	3a4266cec6f8c805a94a2c34d7bf3a98a7fe6a8bfade78af3a5908ad2eaefc46	cache miss
autogen/src/cuda/fna/source_113.cu	cubin	source_113.cubin	71289da4d126b12ab09da4f2576a8f56a9874bdf7a59fd43ef7a7f93ee8d8ae9	cache miss
autogen/src/cuda/fna/source_113.cu	host	source_113.cu.o	40ff8b6762cffcee3067ed861dd2cd038a1d53a88d256f7f9e493fff53809624	cache miss
autogen/src/cuda/fna/source_123.cu	nvcc_outer	source_123.cu.o	966faba250bf251ebad1c092f88629fffb82061f9b687ac92cb4a19afb6f4a14	not cacheable
autogen/src/cuda/fna/source_123.cu	module_id	source_123.module_id	44396cba9a1a2439d3a7a4ebdae1c0fc6be543701a7847ff0475254afcf65fec	cache miss
autogen/src/cuda/fna/source_123.cu	ptx	source_123.ptx	1239829744306de1a07f5739f4f50827ce6a2a9297cfa38eadbe2ac2bd36a3f6	cache miss
autogen/src/cuda/fna/source_123.cu	cubin	source_123.cubin	c9548193c77d269514afd7cb1986993a9d3891d5946266b23ccd357c1267eb66	cache miss
autogen/src/cuda/fna/source_123.cu	host	source_123.cu.o	9077d4288567f9d10189b41ac95aa452a8d74ce6518a2cf9ec8d81f05d70e473	cache miss
autogen/src/cuda/fna/source_16.cu	nvcc_outer	source_16.cu.o	1744e2853951d9be386aaaf6652649a7e481637081e41ff295d95589cb8fa3a2	not cacheable
autogen/src/cuda/fna/source_16.cu	module_id	source_16.module_id	c35cbfe628116ba5e21ba4b5352318d17994b11daac8586bed8cad1cfd4abd34	cache miss
autogen/src/cuda/fna/source_16.cu	ptx	source_16.ptx	70b81c590b39657507f6e3a582bbb88aab120036eea373937a1ed9259346a559	cache miss
autogen/src/cuda/fna/source_16.cu	cubin	source_16.cubin	9f87286f4702634d12d5217bf770053ea64d1a928f2c6cd28dc26aed989818fb	cache miss
autogen/src/cuda/fna/source_16.cu	host	source_16.cu.o	6e199ab27701366c71a59019aa98d800ed258f4655352a73bba669efbaef94e4	cache miss
autogen/src/cuda/fna/source_26.cu	nvcc_outer	source_26.cu.o	60a8b301823c026def5b4b58d9495310f415009630efb5a63cf8831ad9b07e0e	not cacheable
autogen/src/cuda/fna/source_26.cu	module_id	source_26.module_id	42a519f8133700f5d2d93860974ffc769fc23d04a24300f8faa1c8dff22aa230	cache miss
autogen/src/cuda/fna/source_26.cu	ptx	source_26.ptx	b4c5090af945ca9b6db22f38f7e6796187a3b530d33af165c8f9acc1ebd7fca1	cache miss
