log_worked=true
source_log_lines=1335
total_result_lines=123
project_translation_units=23
project_cache_decisions=23
project_cache_hits=0
project_cache_misses=23
project_other_stage_results=23
project_cache_miss_pct=100.00

source	stage	output	hash_key	outcome
autogen/src/cuda/fmha/source_4.cu	nvcc_outer	source_4.cu.o	00c96d64cf5a9bc7de83cd265d8627ca894db51658d9dca0fd816d545cbb33ad	not cacheable
autogen/src/cuda/fmha/source_4.cu	module_id	source_4.module_id	b6419f8f9399ef16ee8d8d2d9b0debf1b32a7e3d2acc428aeb489cf81714a92d	cache miss
autogen/src/cuda/fmha/source_4.cu	ptx	source_4.ptx	071662001e007c35a0c9a4aba27ac2cb709e1e419338e776a8e098707a5d0837	cache miss
autogen/src/cuda/fmha/source_4.cu	cubin	source_4.cubin	65909cf1c63df3b7f782aa7568ffd5335b2f36d4f5cbe80d412cc2a6009e57bf	cache miss
autogen/src/cuda/fmha/source_4.cu	host	source_4.cu.o	d7e69db4414c1b4a64ff40106ff9445ce3c6f48d8415315a9635c07ef713b504	cache miss
autogen/src/cuda/fmha/source_9.cu	nvcc_outer	source_9.cu.o	640056b9ca048428aa41ae2835bc3db24348b04d31e3d85b7fd3692e825775d8	not cacheable
autogen/src/cuda/fmha/source_9.cu	module_id	source_9.module_id	41b0a56a77bb6e0f5395d3c9dd3bc17a41b37ab60c1acf8d6236d102d9764b9f	cache miss
autogen/src/cuda/fmha/source_9.cu	ptx	source_9.ptx	9f525ff7566de2f7c43d3aad4fd01b62b568942c30ded98896b87322b3ccd2a2	cache miss
autogen/src/cuda/fmha/source_9.cu	cubin	source_9.cubin	09df86b4ff7b7f2724cc15c9833d31d4c7f63f0eea5106edf2bc97f0fd04d326	cache miss
autogen/src/cuda/fmha/source_9.cu	host	source_9.cu.o	29c49f05461b3e9e5e60e949144cd4cdb2a7c2e5fc144d45d6259fd20fe96c6f	cache miss
autogen/src/cuda/fna/source_107.cu	nvcc_outer	source_107.cu.o	f5246f2d65cad4b746f10f8664df8aaace7c419630b10fc94438f48ab21e2c34	not cacheable
autogen/src/cuda/fna/source_107.cu	module_id	source_107.module_id	22486bf1bc0c83ed5492fb1f71b1c6a1e9b67056cdbdf69c4466b70a30039a4c	cache miss
autogen/src/cuda/fna/source_107.cu	ptx	source_107.ptx	bda440b32dc0989e32e60475c2f35120c33be505f570199d353113e6391f32d0	cache miss
autogen/src/cuda/fna/source_107.cu	cubin	source_107.cubin	8c0c11d78fed3d7815605af1732e3f3fec0fe9e9a74f3f39ea9758c4d8f274db	cache miss
autogen/src/cuda/fna/source_107.cu	host	source_107.cu.o	669e830180809e92e7c1eac2bb40115281f0bd78b5c753d77d20b35af5ce03ff	cache miss
autogen/src/cuda/fna/source_117.cu	nvcc_outer	source_117.cu.o	ce8cf3db7253a74ffedd09da015c042afadf90b442affa4f6c5ea2b4f5a2a9da	not cacheable
autogen/src/cuda/fna/source_117.cu	module_id	source_117.module_id	d312b4409dd04aa40fa40f3aa1bd86644640cc806a4cd4b3fd1ea93a1f0e4f0f	cache miss
autogen/src/cuda/fna/source_117.cu	ptx	source_117.ptx	b7c8b2ef38ca4c38cee5c3b940e5a90c98bd84ab4e6bd9bca715bfe1a646fa55	cache miss
autogen/src/cuda/fna/source_117.cu	cubin	source_117.cubin	7994a47ffe6f243acb7d28b8f8bdf91d2eaf63dc4f461611b4e715d059ce969c	cache miss
autogen/src/cuda/fna/source_117.cu	host	source_117.cu.o	e5c0d64145f48aa80bb8cc1c413e097638bfc6a224c0bf506ac363ee7d87d5c2	cache miss
autogen/src/cuda/fna/source_12.cu	nvcc_outer	source_12.cu.o	42b2fa553c74648f84f4d41e2053100b3a25ac8124f3e2205734132ed0af29cd	not cacheable
autogen/src/cuda/fna/source_12.cu	module_id	source_12.module_id	d9c3631c03bcf86021d942c4b85d8c8522e315460b258e1969da3808fc61bbe3	cache miss
