log_worked=true
source_log_lines=1394
total_result_lines=128
project_translation_units=24
project_cache_decisions=24
project_cache_hits=0
project_cache_misses=24
project_other_stage_results=24
project_cache_miss_pct=100.00

source	stage	output	hash_key	outcome
autogen/src/cuda/fmha/source_5.cu	nvcc_outer	source_5.cu.o	b0a60f8f34c30376e40b46672e0cdb4e2e074de462d7162ee377c5e462ad4549	not cacheable
autogen/src/cuda/fmha/source_5.cu	module_id	source_5.module_id	c4d9bc7735be181e4f7960953f5e95624aa1a0c66be01e56f1b741a109a84781	cache miss
autogen/src/cuda/fmha/source_5.cu	ptx	source_5.ptx	8a0503200ec97d1c233442687299da8dccb28962e68786c032e75d09fead4cbd	cache miss
autogen/src/cuda/fmha/source_5.cu	cubin	source_5.cubin	805fe250518880f0bf2f80c8b1e62dc4d722e87611e8ff01d7202febec7e69ce	cache miss
autogen/src/cuda/fmha/source_5.cu	host	source_5.cu.o	bb43424d3fcf5aeb611f91c40331ccd12880255565bbaceb9c9cb43e3a2f7a71	cache miss
autogen/src/cuda/fmha/source_8.cu	nvcc_outer	source_8.cu.o	e5c121e76f894d5e0485b16c4339c16ead16817584a9859010016f2a02839e99	not cacheable
autogen/src/cuda/fmha/source_8.cu	module_id	source_8.module_id	39c7682efa5a603da0f1aa61634ed0d08d0aa44e4afd00a8ad8cd942dde79e79	cache miss
autogen/src/cuda/fmha/source_8.cu	ptx	source_8.ptx	ed9555c8f18432168c880b5386324ecfb56f36102eb67021fdd9e3dd7e14ae4f	cache miss
autogen/src/cuda/fmha/source_8.cu	cubin	source_8.cubin	80c2dbfcccff91f5582749715467017247b9b87b64d3e0c84ad8f7ce6e004d1f	cache miss
autogen/src/cuda/fmha/source_8.cu	host	source_8.cu.o	6ac59eebddc63d1b1f64363f2162037dff22073fc80d691baac1c9e7eb517b33	cache miss
autogen/src/cuda/fna/source_106.cu	nvcc_outer	source_106.cu.o	591c69f87c47f0de393456a2cbd9aadc1ff288617cd551afb894b6e71e34f9ea	not cacheable
autogen/src/cuda/fna/source_106.cu	module_id	source_106.module_id	edf759c76451d33f8909cd14b784e9264c474c73b3a2c6457ffafdeef3381986	cache miss
autogen/src/cuda/fna/source_106.cu	ptx	source_106.ptx	9f1d028eb9983b3ba5fde8ddd03e6b2712bc0341f8eb3c42a8c2641e1c10e153	cache miss
autogen/src/cuda/fna/source_106.cu	cubin	source_106.cubin	bbb139aad444756093d0ef99fb8d6478d3eaf2fab9e7e7e0bdbf6b53ed1e8137	cache miss
autogen/src/cuda/fna/source_106.cu	host	source_106.cu.o	e617a23ec37e74e516729388aace2b51fe61f92260061485f2e37befe440f023	cache miss
autogen/src/cuda/fna/source_116.cu	nvcc_outer	source_116.cu.o	eb3db555ad807fdefec1dd8033f50369dee6e758aca172e4eba039368e6a4732	not cacheable
autogen/src/cuda/fna/source_116.cu	module_id	source_116.module_id	bc8f7ea0f8276ba4ced09d494631094348734f2506a49049ffdf8d00a1c457c9	cache miss
autogen/src/cuda/fna/source_116.cu	ptx	source_116.ptx	789cd5d4990cee962a150906ff62ba87dbd74d87631655a9897577ea21cf22a0	cache miss
autogen/src/cuda/fna/source_116.cu	cubin	source_116.cubin	3c894747d52488e3be8192e1929438a9aba183f8b7d50109db19c90e82cf4b97	cache miss
autogen/src/cuda/fna/source_116.cu	host	source_116.cu.o	b2b8c90d42d84ba8d0542581874be59ab22f194281a6c9a82e58920d53950f25	cache miss
autogen/src/cuda/fna/source_126.cu	nvcc_outer	source_126.cu.o	6ed5130a931e75e0ae16143ea5c0ea7a4687e41c095d373a7fce942ec56a787a	not cacheable
autogen/src/cuda/fna/source_126.cu	module_id	source_126.module_id	3f7c3e831128e8ad0ad45a3fabeb78f93a99df6e86fbb26fb0e31772cf058ddc	cache miss
autogen/src/cuda/fna/source_126.cu	ptx	source_126.ptx	01ab8623e6e64d73d40919059213c26b3e0d495bba5350c5d34b8d7a78514e9a	cache miss
autogen/src/cuda/fna/source_126.cu	cubin	source_126.cubin	584ba586ee2ce3f91829f16580426bcec766b20d2d899a4c4cf2a7c82f124829	cache miss
autogen/src/cuda/fna/source_126.cu	host	source_126.cu.o	d6c911080ae6f38ac67c86f1bea656310ea046c7d26f95823fa9ac52b5a54009	cache miss
autogen/src/cuda/fna/source_13.cu	nvcc_outer	source_13.cu.o	3bd3f417d71ff7b88f73c445bbc87dbd286627fba2289d5a4e7c0baf1a45f678	not cacheable
autogen/src/cuda/fna/source_13.cu	module_id	source_13.module_id	917398a45dde3b2a081a195d558f637fd2ed18838ee1b5e93899230172afa151	cache miss
autogen/src/cuda/fna/source_13.cu	ptx	source_13.ptx	0f96b28917db9e23a6979633dea8c1dcae358960ff526b115bf9772f6a020378	cache miss
autogen/src/cuda/fna/source_13.cu	cubin	source_13.cubin	65a7f240ce0dd266b16b78def86ab6906cbeafddcee94582f152c9031570ea90	cache miss
autogen/src/cuda/fna/source_13.cu	host	source_13.cu.o	be18001feb21544686f2a7fa8836352de96e2c156d2d89f74a79a839363ded2c	cache miss
autogen/src/cuda/fna/source_23.cu	nvcc_outer	source_23.cu.o	2c748e5313c9bf357d4bf632adf5c19a59e6571495bf9e4e35ad7633feedc2ef	not cacheable
autogen/src/cuda/fna/source_23.cu	module_id	source_23.module_id	33709cd4f0e6b50686661696dec877e08f07e736f194f5fef17b75223fefba30	cache miss
autogen/src/cuda/fna/source_23.cu	ptx	source_23.ptx	9164925dcafbb3f97e64b8b80ca6331fc553d8ffd029955498914ce02e24a6ab	cache miss
autogen/src/cuda/fna/source_23.cu	cubin	source_23.cubin	8b1b028279e15177513139d7734008f71ca976a9f0b1f069c27a35a6c3f3a060	cache miss
autogen/src/cuda/fna/source_23.cu	host	source_23.cu.o	e6eac5afce922f3c608988f4b975d5f5b9647c5423d5d1b993401533d9749227	cache miss
autogen/src/cuda/fna/source_3.cu	nvcc_outer	source_3.cu.o	caeb80d2df80b2fc3a8568c03818c50e4e4688fd8f2295ddfefa648f432b4a09	not cacheable
autogen/src/cuda/fna/source_3.cu	module_id	source_3.module_id	18ad9958103ce7e314a67e6939b6505fd690783aaa75a39688bebe42cd5b6b11	cache miss
autogen/src/cuda/fna/source_3.cu	ptx	source_3.ptx	21032d55a3991a070a0c52c2bb2547fa50334f493527b1cc5130a6b855ce4205	cache miss
autogen/src/cuda/fna/source_3.cu	cubin	source_3.cubin	0ee968ad5c7ea830b2d7632ba8b0a658df6cd6fa74385091aadad9fe88f8c162	cache miss
autogen/src/cuda/fna/source_3.cu	host	source_3.cu.o	f2b878b5fa7b953cbe4c44cf5e317f97fb06342b53ef5bf362fddef2693b5d9e	cache miss
autogen/src/cuda/fna/source_33.cu	nvcc_outer	source_33.cu.o	6357380d141f195c8b6cd328ef98cde65a34dfe631f9629a71619a8da826ab14	not cacheable
autogen/src/cuda/fna/source_33.cu	module_id	source_33.module_id	69ea43889b5f5b4c527cd9b32b9adc28f351632fd578a9b583fdf5452088655f	cache miss
autogen/src/cuda/fna/source_33.cu	ptx	source_33.ptx	01ed9bcec2c1c516d974aaf2bc2e44241cc7c47b216edc47933301b1893699fc	cache miss
