log_worked=true
source_log_lines=1875
total_result_lines=173
project_translation_units=33
project_cache_decisions=33
project_cache_hits=0
project_cache_misses=33
project_other_stage_results=33
project_cache_miss_pct=100.00

source	stage	output	hash_key	outcome
autogen/src/cuda/fmha/source_3.cu	nvcc_outer	source_3.cu.o	bd9f18e040e8df37d6b78d162f90b735ce45fb5cf6ba1efc353e3274a4041c96	not cacheable
autogen/src/cuda/fmha/source_3.cu	module_id	source_3.module_id	49b8de51de3839be4f63b02b019ac4ae6a9c6a5a09b7f3704593984ec5a828f8	cache miss
autogen/src/cuda/fmha/source_3.cu	ptx	source_3.ptx	b699b583c278145292713c4f32a0f163aa949a85c7e8178236f21403906c55d1	cache miss
autogen/src/cuda/fmha/source_3.cu	cubin	source_3.cubin	10f128ea7d1a31f61e0a61c27f459207b5073f9d88e120fa5609f4c78a8cd595	cache miss
autogen/src/cuda/fmha/source_3.cu	host	source_3.cu.o	cab652596505cab9e685a9d347b009be3cbeb8076f54fc09c8a559b41441976d	cache miss
autogen/src/cuda/fna/source_100.cu	nvcc_outer	source_100.cu.o	b8b96f934821d2304a49fa5e259ce7aac6d158ecf947c542f394613909832a49	not cacheable
autogen/src/cuda/fna/source_100.cu	module_id	source_100.module_id	3d5511c96f494037b0cd250e2f9ec0cae19a654de2b303ca00d15003d3ace21e	cache miss
autogen/src/cuda/fna/source_100.cu	ptx	source_100.ptx	8ca0a954eae530fb108588080537d0ceadfb129edd277a23687a12c4dd6147da	cache miss
autogen/src/cuda/fna/source_100.cu	cubin	source_100.cubin	e1c683e38598f6c4f54fb34489d3bf49ed22b51cb068411856ad735c99e4ba4d	cache miss
autogen/src/cuda/fna/source_100.cu	host	source_100.cu.o	68657f7bee3b6eddc805b28672f57d1353615dfb7949b0f6a5525a99e88b0827	cache miss
autogen/src/cuda/fna/source_110.cu	nvcc_outer	source_110.cu.o	34d4fb357f9afc15a6fac6fdd32db0491badbc59ab8ed009e474368cd9732a06	not cacheable
autogen/src/cuda/fna/source_110.cu	module_id	source_110.module_id	2d466c83cd8049f134dbaec51bba4ca4b7616b4319ff6a456ed094be8a6afadf	cache miss
autogen/src/cuda/fna/source_110.cu	ptx	source_110.ptx	9b9a240fe4adbe84bfcb7b449db2d65633e8a60aceb5492e83c86765fdcc16fc	cache miss
autogen/src/cuda/fna/source_110.cu	cubin	source_110.cubin	a6cf1f546c28eebb05241fde1a3c3586e4a13375310b1e0630e286d5916fb81f	cache miss
autogen/src/cuda/fna/source_110.cu	host	source_110.cu.o	29fb76b8b1ec501f9aa4a3191fa0973d6fb088e170df4a9ac4123ad5a55b9536	cache miss
autogen/src/cuda/fna/source_120.cu	nvcc_outer	source_120.cu.o	449dc988c2bbcc57e64ac8e9b834afa78fc5c96adb2eb1c3300db4f9ac42d861	not cacheable
autogen/src/cuda/fna/source_120.cu	module_id	source_120.module_id	d27d39e96d447f4c096f911ec14e7089ebb652f6e65004f1a52b44de4ef7603a	cache miss
autogen/src/cuda/fna/source_120.cu	ptx	source_120.ptx	06bdcdf100b87c66f368bf83941f24ec1d5763c07737c0d99dcc96d2fc310d95	cache miss
autogen/src/cuda/fna/source_120.cu	cubin	source_120.cubin	8feaf66855c5034aa4043f26696ec31c786b37b56b34cce3315fd8beb35a6b6f	cache miss
autogen/src/cuda/fna/source_120.cu	host	source_120.cu.o	fde5604d56b1e61b69b2f1173b4687758deab7a7c2d1e9b904768373ec453d91	cache miss
autogen/src/cuda/fna/source_15.cu	nvcc_outer	source_15.cu.o	dadd543e62c3c4f98aab5e685f011c0a9b65da7ce28a90222e15576a9d70c0ee	not cacheable
autogen/src/cuda/fna/source_15.cu	module_id	source_15.module_id	5e31be70d89d61d0007f0b9efac0297089362b7fa185b261e89a5384798e5296	cache miss
autogen/src/cuda/fna/source_15.cu	ptx	source_15.ptx	3d2fad283ee095c0f7825fe38a0d3188e211ff9d3f0f9ddaad52d5f909c51bc1	cache miss
