log_worked=true
source_log_lines=1659
total_result_lines=153
project_translation_units=29
project_cache_decisions=29
project_cache_hits=0
project_cache_misses=29
project_other_stage_results=29
project_cache_miss_pct=100.00

source	stage	output	hash_key	outcome
autogen/src/cuda/fmha/source_2.cu	nvcc_outer	source_2.cu.o	6146f28fcff22f31f12372e2088300c56052a160c6edcb04d8c48aa63c3fbe0e	not cacheable
autogen/src/cuda/fmha/source_2.cu	module_id	source_2.module_id	336c03c68cce14522aff2189e2aeebe05d72e58a2a886d2f69b3e49dac3e4d9b	cache miss
autogen/src/cuda/fmha/source_2.cu	ptx	source_2.ptx	1213a9bc51af245add5ba2ece6fc505ca7dbdeb013b64b06cfd4404d41fd2eea	cache miss
autogen/src/cuda/fmha/source_2.cu	cubin	source_2.cubin	f7454a8ea196038dc8a0b5a7f3ef603d4166b24bdb974d5e9c85a0763f47f50a	cache miss
autogen/src/cuda/fmha/source_2.cu	host	source_2.cu.o	d057975a6d3a65aaf093ef31edb5a2987f6f0e1f073e035e51d984c18fbac033	cache miss
autogen/src/cuda/fna/source_101.cu	nvcc_outer	source_101.cu.o	04f7819981e4e5e92272c37f6d636ed099278e0d7e87278a33ce08391b522eb3	not cacheable
autogen/src/cuda/fna/source_101.cu	module_id	source_101.module_id	0404e044499799d74ed8aca13e268f68dde3793fec08ec8aa41e5f8f2cc40277	cache miss
autogen/src/cuda/fna/source_101.cu	ptx	source_101.ptx	71631217381323f25f08d233244d0b42130d5f6232340225765d7418a08c861e	cache miss
autogen/src/cuda/fna/source_101.cu	cubin	source_101.cubin	45c246f60c55fe3ed2f119f41cdd61c11645fb700a74c9e2339b293b2ea01583	cache miss
autogen/src/cuda/fna/source_101.cu	host	source_101.cu.o	f06497655746d9900df3e4b42d73de9259a4e1904a0cbda7d2667e7294afd9a3	cache miss
autogen/src/cuda/fna/source_111.cu	nvcc_outer	source_111.cu.o	b792510471b01a3ce63c119f4fb6808fb23f25737a86c3aad88f1ae9da4443ca	not cacheable
autogen/src/cuda/fna/source_111.cu	module_id	source_111.module_id	3561a418d8978ec3bcc62e1d0f550923f75475c73568b9a27a40948495a5ed63	cache miss
autogen/src/cuda/fna/source_111.cu	ptx	source_111.ptx	fbcd68c55551317f6481aadb9b25965a48df18af58726887e6288cfbfd001545	cache miss
autogen/src/cuda/fna/source_111.cu	cubin	source_111.cubin	44c30694930683d53e7768b25f89ddd6a320a102714ffc67835b3affaea58693	cache miss
autogen/src/cuda/fna/source_111.cu	host	source_111.cu.o	4af533cb1ef68783ae087dddba74022092b74725ea6c10ffd0121020432e72bb	cache miss
autogen/src/cuda/fna/source_121.cu	nvcc_outer	source_121.cu.o	bd70406906f0b97de76a2992416b63273de87be7a6901cfc0ae7de1a9a557c4d	not cacheable
