log_worked=true
source_log_lines=1430
total_result_lines=128
project_translation_units=24
project_cache_decisions=24
project_cache_hits=0
project_cache_misses=24
project_other_stage_results=24
project_cache_miss_pct=100.00

source	stage	output	hash_key	outcome
autogen/src/cuda/fna/source_119.cu	cubin	source_119.cubin	62a52be7c40103c2eb8af5f6944a899d8cb1df6f8105c640573e8ca9b9e422c3	cache miss
autogen/src/cuda/fna/source_119.cu	host	source_119.cu.o	d828f765db1bf4816735da3be69a256b1dc039e9f14914701b36ab785b0b0715	cache miss
autogen/src/cuda/fna/source_124.cu	nvcc_outer	source_124.cu.o	cb10a166749d4198d8b76f636e9fe3d53da9647d297be9722de01f8da600d388	not cacheable
autogen/src/cuda/fna/source_124.cu	module_id	source_124.module_id	a91b423f41232c89d99891fd2ea04eb782595968d2b46abd11f99b66b9ac0b19	cache miss
autogen/src/cuda/fna/source_124.cu	ptx	source_124.ptx	74b37aa5927a85c4c4fe697a71659d3193db209755cb710903ec7f8bf8c3b24b	cache miss
autogen/src/cuda/fna/source_124.cu	cubin	source_124.cubin	7b9a03cd5005b85ba8b59c35b9bfbeb659c903429a76f777b7bc4664940b67d9	cache miss
autogen/src/cuda/fna/source_124.cu	host	source_124.cu.o	cca1105fd2708a2501c10c1ad77e00b7f6eae9a219645429e9393ca1a005bcf3	cache miss
autogen/src/cuda/fna/source_21.cu	nvcc_outer	source_21.cu.o	59e357218dc7a744e2052accd44295671641b0d63775f6817c34df055fcbdad6	not cacheable
autogen/src/cuda/fna/source_21.cu	module_id	source_21.module_id	26c7943858621813a8179a83f654fa52afd930ce3bd222bafebeb4d915f082b3	cache miss
autogen/src/cuda/fna/source_21.cu	ptx	source_21.ptx	2100a6477116c12e2aabd9b0f1f20cbc30c76fde6e5bd6ccf3a269502b6daf3c	cache miss
autogen/src/cuda/fna/source_21.cu	cubin	source_21.cubin	6e689e22a37ab462343302758ecf1cd3c4858cecd33dbc3ed1ccc65f47addf56	cache miss
autogen/src/cuda/fna/source_21.cu	host	source_21.cu.o	7e6b27ba978ce218f1c0fdb1425d97bc82705866bad1612cf05be2b8a35848bf	cache miss
autogen/src/cuda/fna/source_31.cu	nvcc_outer	source_31.cu.o	82def742cf55fda58bb012122835b35721a59ab3ac6e2de446d6044c88c52057	not cacheable
autogen/src/cuda/fna/source_31.cu	module_id	source_31.module_id	280b5c9db07bda6cda371b452c5d4447e88e63d7f2940ec542c78ad32f8b93cf	cache miss
autogen/src/cuda/fna/source_31.cu	ptx	source_31.ptx	92daab7d293ca34d2abb4ceb73f66b15fb6b494601fe67f9851e1b5eb07014c9	cache miss
autogen/src/cuda/fna/source_31.cu	cubin	source_31.cubin	d20cc1246a35e54f1e4eabc61890e9a719a06701ab44d79d3fe981366cbc3cd5	cache miss
autogen/src/cuda/fna/source_31.cu	host	source_31.cu.o	e5efaa9e6f7c9a621681deb9cdc78a113e8a8a2979216c0c0b09f4415deb14d4	cache miss
autogen/src/cuda/fna/source_41.cu	nvcc_outer	source_41.cu.o	212aec38e3d0d47325a5acb0d228dfcacbc9174d640c2374af139bb0fb22be64	not cacheable
autogen/src/cuda/fna/source_41.cu	module_id	source_41.module_id	ebcb1cabda7d60a122cab6d70deea3950524acd6cff20dcd9856e2cec433cbac	cache miss
autogen/src/cuda/fna/source_41.cu	ptx	source_41.ptx	19ff992b63ff94e997056b036a063822131a18ac217c2e0e0b0e58a2ec302301	cache miss
