log_worked=true
source_log_lines=1335
total_result_lines=123
project_translation_units=23
project_cache_decisions=23
project_cache_hits=0
project_cache_misses=23
project_other_stage_results=23
project_cache_miss_pct=100.00

source	stage	output	hash_key	outcome
autogen/src/cuda/fmha/source_1.cu	nvcc_outer	source_1.cu.o	eb22118e08a88ea92f83067c7b828567b4100dc879db3f8e7242eb3b00439fb3	not cacheable
autogen/src/cuda/fmha/source_1.cu	module_id	source_1.module_id	fe887508bc1416b2b91b5da13d818f6e28f28c82ef171b778c4398f27cc7e2e3	cache miss
autogen/src/cuda/fmha/source_1.cu	ptx	source_1.ptx	8f2bb831aafee5e11474e3f8b5158f467f17c51478914b26044078aeb3d09688	cache miss
autogen/src/cuda/fmha/source_1.cu	cubin	source_1.cubin	6719870c16ed04032b6c3f96b5e9718797033209699a0966b8c8cf9233b445f7	cache miss
autogen/src/cuda/fmha/source_1.cu	host	source_1.cu.o	4b8b24a17259d8611091e6bf6224fbb39eb4ad2786f1d668b1171062ef5b7195	cache miss
autogen/src/cuda/fmha/source_11.cu	nvcc_outer	source_11.cu.o	37082d16b2178def12052516dd4690b51685bbf2d5d217e3231af1ab1c7cd01f	not cacheable
autogen/src/cuda/fmha/source_11.cu	module_id	source_11.module_id	bc0e1e37ebf34db5387dbcb17239a3d663c74ff34603c5fe27f107b7a086e2c7	cache miss
autogen/src/cuda/fmha/source_11.cu	ptx	source_11.ptx	adb7e4400fe6ccac5b447180e7256e4db2482f4eb7f39ceac3b275c609a3a9ab	cache miss
autogen/src/cuda/fmha/source_11.cu	cubin	source_11.cubin	887cf1e951befebc78724b15561d867d9a797a107d6a79031b340f42fd70f554	cache miss
autogen/src/cuda/fmha/source_11.cu	host	source_11.cu.o	5911490524cd0911265eeec22fffbcb194e2c3500cde0d631ed62a146d248644	cache miss
autogen/src/cuda/fna/source_102.cu	nvcc_outer	source_102.cu.o	4484e84ad5c3d02c0c0c9057864df9a620390eae808f04a0ce9ad69cb2db1ff2	not cacheable
